Parameter,Gibbs_ESS,MH_ESS,ESS_Ratio
Intercept,31443.899582729806,100.30338734254141,313.48791317831785
age,33161.26529706872,1658.4381407972978,19.995479168807808
sex,32294.00822764331,490.69557669481003,65.81271517702856
bmi,32166.889248250878,1101.5372443546767,29.20181719964947
children,30819.157370057572,1754.5293104725856,17.565484478430502
smoker,31916.818906717326,392.95923370870645,81.22170487124038
region_northwest,30638.647560358724,117.19810387834825,261.4261369975889
region_southeast,31492.852762602597,142.86660287741475,220.43537207659878
region_southwest,31337.03569562657,144.83970315578387,216.3566688749817
σ²,31076.022719130033,5064.622151500091,6.135901512401201
