Parameter,Gibbs_Rhat,MH_Rhat,Both_Converged
Intercept,0.9999865063986585,1.0222942583432948,False
age,0.9999195846554185,1.0069924303531645,True
sex,1.000073049986958,1.0064703181522725,True
bmi,1.0001863446186685,1.0090178416053597,True
children,0.9999896922219876,1.0019446368819223,True
smoker,0.9999670911585073,1.0142073196572226,False
region_northwest,1.0000488039055502,1.0188450871435761,False
region_southeast,1.0002346247327658,1.0325531566513457,False
region_southwest,1.0000841112541219,1.0204610854728347,False
σ²,0.9999741843915381,1.0012810312639036,True
